|              Line Name | v | J$_u$ | J$_l$ |          Frequency |     Fitted Velocity | Fitted Velocity error |       Fitted Width |  Fitted Width error | Fitted Amplitude K | Fitted Amplitude error K | Integrated Intensity | Integrated Intensity error |   EU_K | Flag |
|   23Na-37Clv=5-5 J=7-6 | 5 |     7 |     6 |          85.981669 |  5.2070494897307125 |    1.1636166543683406 |  4.894591895699373 |  1.1717653153875043 |  8.139832718961637 |       1.6774237847073596 |    99.86697629162882 |         12.584992941576116 | 2538.2 |   -d |
|   23Na-37Clv=4-4 J=7-6 | 4 |     7 |     6 |  86.62108500000001 | -2.1261753630019693 |    1.0952062207456077 |  8.123216695081508 |   1.247481616737413 |  13.02892326055845 |        1.354492188758018 |   265.29343253015634 |          19.62736560977706 | 2043.6 |   -d |
|   23Na-35Clv=6-6 J=7-6 | 6 |     7 |     6 |          87.169205 |  3.3609540058422147 |    1.1994774562966302 |  4.108136237391361 |  1.1997944505118554 | 7.1767446974945805 |       1.8148718229764182 |    73.90303411465109 |         11.389943796861544 | 3060.0 |   -d |
|   23Na-37Clv=3-3 J=7-6 | 3 |     7 |     6 |          87.264636 |  2.9493185575060608 |    1.0034998134444368 | 4.5232328806527535 |  1.0036451896046765 |  8.996500779794584 |       1.7285680166077668 |   102.00289650181399 |         11.944056194012727 | 1544.3 |   -d |
|   23Na-35Clv=5-5 J=7-6 | 5 |     7 |     6 |           87.82519 |   4.461196156643512 |    0.6378148695296522 |  5.968664923295157 |  0.6519820202479517 | 11.617875317350784 |       1.0767058659506077 |   173.81763803052442 |          9.933534970809616 | 2565.2 |   -d |
|   23Na-37Clv=2-2 J=7-6 | 2 |     7 |     6 |          87.912322 |   4.320908575315326 |    0.5817637587388225 |  6.274673561502054 |  0.5955994480553056 |  13.05023590379647 |       1.0501117818942247 |   205.25768819118247 |         10.189770589222599 | 1040.1 |   -d |
|   23Na-35Clv=4-4 J=7-6 | 4 |     7 |     6 |  88.48549000000001 |  3.7759385091340074 |    0.6801383992187523 |  6.499123246496276 |  0.7070472562102893 | 11.383243248154491 |       1.0329739241830036 |   185.44311909020948 |         10.480852970335269 | 2065.5 |   -d |
|   23Na-37Clv=1-1 J=7-6 | 1 |     7 |     6 |          88.564146 |  3.6702889795971196 |   0.41675941718253967 |   4.81961757841018 |  0.4170575009957697 | 15.833500338682118 |       1.1858856788643592 |   191.28435442663056 |          8.733445266759597 |  531.1 |   -d |
|   23Na-35Clv=3-3 J=7-6 | 3 |     7 |     6 |  89.15010799999999 |  3.8101270977732953 |   0.48231902276925637 |  5.170183310285525 |  0.4836409628889867 |  14.12733435440279 |       1.1418961752750785 |   183.08640594438813 |          9.029886257284756 | 1561.0 |   -d |
|   23Na-37Clv=0-0 J=7-6 | 0 |     7 |     6 |          89.220108 |   4.299938998111431 |    0.3696211646527208 |  5.045060903385901 | 0.37026917318729236 |  18.20060569337311 |        1.155178030951097 |   230.16653965376426 |          8.909585145943023 |   17.1 |   -d |
|   23Na-37Clv=4-4 J=8-7 | 4 |     8 |     7 |          98.991272 |   4.555409164054883 |    1.0905279178821785 |  4.182983400755588 |  1.0905309105238523 |  8.228020633764942 |       1.8577079771162017 |    86.27231412393967 |         11.870040655530921 | 2048.4 |   -d |
|   23Na-35Clv=6-6 J=8-7 | 6 |     8 |     7 |           99.61753 |  4.4164606692666855 |    0.6726390180322788 |  5.208564668446155 |  0.6748970179769019 |   7.66207264121116 |       0.8574085415427974 |   100.03552595609277 |           6.83259496258726 | 3064.8 |   -d |
|   23Na-37Clv=3-3 J=8-7 | 3 |     8 |     7 |  99.72674800000001 |  3.7267045461061183 |   0.38946919786323664 |  5.806498221267457 | 0.39651905161950435 | 14.009495558722396 |       0.8150431875556758 |   203.90446197059384 |          7.297628294182723 | 1549.1 |   -d |
|   23Na-35Clv=5-5 J=8-7 | 5 |     8 |     7 |         100.367215 |   3.655045433628819 |   0.49718414608187667 |  4.882392138036195 |  0.4973272590904253 |  9.994534569293563 |        0.881464594943901 |   122.31653399922416 |          6.574790124953238 | 2570.0 |   -d |
|   23Na-37Clv=2-2 J=8-7 | 2 |     8 |     7 | 100.46695100000001 |   5.336910732731376 |   0.41605273869975296 |  7.873968866395934 |  0.4505510109816415 | 15.565538712248078 |       0.7098632531814386 |   307.21879637724624 |          8.967998220037483 | 1045.0 |   -d |
|   23Na-35Clv=4-4 J=8-7 | 4 |     8 |     7 |         101.121833 |   3.084207885262827 |   0.33918571139884535 |  5.504739034770475 | 0.34198044749829914 | 15.516702372076248 |       0.8289775361867382 |     214.104649806822 |          6.998694672538185 | 2070.4 |   -d |
|   23Na-37Clv=1-1 J=8-7 | 1 |     8 |     7 |         101.211883 |   4.642553931973886 |   0.27039714596987774 |  5.678433734544008 | 0.27147688393971364 | 19.746024189325336 |        0.814826931014541 |   281.05942986780076 |          7.081277866896817 |  536.0 |   -d |
