|              Line Name |                Species |           QNs | v | J$_u$ | J$_l$ |          Frequency |      Fitted Velocity | Fitted Velocity error |       Fitted Width |  Fitted Width error |     Fitted Amplitude | Fitted Amplitude error |  Fitted Amplitude K | Fitted Amplitude error K | Integrated Intensity | Integrated Intensity error |               Jy/K |               EU_K |  deg |                    Aij | Flag |
| 23Na-37Clv=0-0 J=18-17 | 23Na-37Clv=0-0 J=18-17 | v=0-0 J=18-17 | 0 |    18 |    17 |         229.246046 |   4.7840060866736005 |     0.113486748768362 |  4.686987573254084 | 0.11358703524161909 |    3.854188526847074 |     0.0808331046650576 |  21.402697830068732 |      0.44887438737404334 |   251.45035683533945 |         3.2150209721368497 |  5553.100913716135 |              104.6 |  592 |   0.005499999970197678 |   -d |
|   23Na-37Clv=0-0 J=7-6 |   23Na-37Clv=0-0 J=7-6 |   v=0-0 J=7-6 | 0 |     7 |     6 |          89.220108 |    4.299938998111431 |    0.3696211646527208 |  5.045060903385901 | 0.37026917318729236 |   2.5070010038998616 |    0.15911736851328628 |   18.20060569337311 |        1.155178030951097 |   230.16653965376426 |          8.909585145943023 | 7259.9116095527925 |               17.1 |  240 |  0.0003100000030826777 |   -d |
| 23Na-37Clv=1-1 J=17-16 | 23Na-37Clv=1-1 J=17-16 | v=1-1 J=17-16 | 1 |    17 |    16 |         214.938711 |    4.772049633742648 |    0.3550302457130202 |  4.648071685560061 |  0.3552398315907727 |    3.349438653494865 |     0.2215870282515139 |  18.654278113341828 |       1.2341011372158304 |   217.34076875967924 |          8.764565006411589 |  5569.374466338595 |              607.0 |  560 |   0.004600000102072954 |   -d |
|   23Na-37Clv=1-1 J=7-6 |   23Na-37Clv=1-1 J=7-6 |   v=1-1 J=7-6 | 1 |     7 |     6 |          88.564146 |   3.6702889795971196 |   0.41675941718253967 |   4.81961757841018 |  0.4170575009957697 |   2.1809494647080774 |    0.16334712357984332 |  15.833500338682118 |       1.1858856788643592 |   191.28435442663056 |          8.733445266759597 | 7259.9116095527925 |              531.1 |  240 |  0.0003100000030826777 |   -d |
|   23Na-37Clv=1-1 J=8-7 |   23Na-37Clv=1-1 J=8-7 |   v=1-1 J=8-7 | 1 |     8 |     7 |         101.211883 |    4.642553931973886 |   0.27039714596987774 |  5.678433734544008 | 0.27147688393971364 |   2.1062317852015604 |    0.08691442718219942 |  19.746024189325336 |        0.814826931014541 |   281.05942986780076 |          7.081277866896817 |   9375.04804934643 |              536.0 |  272 | 0.00046999999904073775 |   -d |
|   23Na-37Clv=2-2 J=7-6 |   23Na-37Clv=2-2 J=7-6 |   v=2-2 J=7-6 | 2 |     7 |     6 |          87.912322 |    4.320908575315326 |    0.5817637587388225 |  6.274673561502054 |  0.5955994480553056 |   1.7975750402559458 |     0.1446452571836355 |   13.05023590379647 |       1.0501117818942247 |   205.25768819118247 |         10.189770589222599 | 7259.9116095527925 |             1040.1 |  240 |  0.0003100000030826777 |   -d |
|   23Na-37Clv=2-2 J=8-7 |   23Na-37Clv=2-2 J=8-7 |   v=2-2 J=8-7 | 2 |     8 |     7 | 100.46695100000001 |    5.336910732731376 |   0.41605273869975296 |  7.873968866395934 |  0.4505510109816415 |   1.6603156197512194 |     0.0757183589294698 |  15.565538712248078 |       0.7098632531814386 |   307.21879637724624 |          8.967998220037483 |   9375.04804934643 |             1045.0 |  272 |  0.0004600000102072954 |   -d |
|   23Na-37Clv=3-3 J=7-6 |   23Na-37Clv=3-3 J=7-6 |   v=3-3 J=7-6 | 3 |     7 |     6 |          87.264636 |   2.9493185575060608 |    1.0034998134444368 | 4.5232328806527535 |  1.0036451896046765 |    1.118261812933171 |     0.2148603830915505 |   8.996500779794584 |       1.7285680166077668 |   102.00289650181399 |         11.944056194012727 |  8045.075559002593 |             1544.3 |  240 |  0.0003000000142492354 |   -d |
|   23Na-37Clv=3-3 J=8-7 |   23Na-37Clv=3-3 J=8-7 |   v=3-3 J=8-7 | 3 |     8 |     7 |  99.72674800000001 |   3.7267045461061183 |   0.38946919786323664 |  5.806498221267457 | 0.39651905161950435 |   1.4943385340514657 |    0.08693749442836142 |  14.009495558722396 |       0.8150431875556758 |   203.90446197059384 |          7.297628294182723 |   9375.04804934643 |             1549.1 |  272 |  0.0004600000102072954 |   -d |
| 23Na-37Clv=4-4 J=27-26 | 23Na-37Clv=4-4 J=27-26 | v=4-4 J=27-26 | 4 |    27 |    26 |         333.459061 |   5.5021241828888225 |    0.5089699343071852 |  4.803815161391213 |  0.5095358008960611 |   1.7477231565760023 |    0.16039808503111067 |  10.870721595033595 |       0.9976654026635051 |   130.89847774705234 |          7.324600974499198 |  6219.933376823039 |             2251.3 |  880 |   0.017999999225139618 |   -d |
